DT,OPEN,HIGH,LOW,CLOSE,AMT,CLOSE多头排列信号,CLOSE空头排列信号,CLOSE_RSI2>80,CLOSE_RSI2<20,CLOSE_RSI3>80,CLOSE_RSI3<20,CLOSE_RSI14>80,CLOSE_RSI14<20,CLOSE_aboveMA5,CLOSE_aboveMA10,CLOSE_aboveMA40,CLOSE_aboveMA200,神奇九转_高9,神奇九转_低9,bband_up_break,bband_down_break,Dir,Value,found,近60bar最大下行超10,低点抬高,大阳线,大阴线,上涨3,下跌3,当前K线低点>昨天低点,当前K线高点>昨天高点,当前K线开盘介于昨天开盘和收盘之间,阳线,阴线,收盘明显高于最低,明显下引线,跳空后缺口不封闭,当前K线最高价<长下引线阴线最高价,当前K线最低价<长下引线阴线后所有线最低价,连续3天以上阴线且最高最低下移,长下引线阴线后所有线最高价<前一根最高价,长下引线阴线后第二根线最低价>下引线最低价,检测到低点后高点到低点下降10,检测到低点后当前点高于最低点,检测到低点后当前点被前高支撑,检测到低点后和前最低点靠近,检测到低点后除去最低后还有相近低点,检测到低点后除去最低后还有2上相近低点,检测到低点后当前低点在之前的下引线附近,检测到低点后高点在之前最低点的左侧,检测到低点后和前最低相隔>=5K线,检测到低点后和前最低相隔>=10K线
2016-02-19,252.69,257.7,252.69,256.6,21521733000,True,False,True,False,True,False,True,False,True,True,True,True,True,False,False,False,,,,False,False,True,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-22,257.41,258.8,254.6,254.6,21507876500,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,,,,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-02-23,252.49,256.2,252.38,255.82,20794891680,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-02-24,255.59,257.85,254.92,256.6,18551058660,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,,,,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-02-25,259.1,263.23,258.0,260.31,36673840280,True,False,True,False,True,False,False,False,True,True,True,True,True,False,False,False,,,,False,False,True,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-02-26,259.7,261.0,257.81,260.42,24645529600,True,False,True,False,True,False,False,False,True,True,True,True,True,False,False,False,,,,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-02-29,260.25,260.68,255.2,258.81,28250081840,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,,,,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-03-01,259.0,262.6,258.28,261.2,23901173820,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,,,,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-02,262.45,262.86,258.08,258.73,25766796840,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,,,,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-03,259.44,261.36,258.57,261.09,19815715660,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,,,,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-03-04,261.61,264.79,260.6,264.6,24949542740,True,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,,,,False,False,True,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-03-07,265.68,267.8,262.7,264.8,46108765580,True,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,,,,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-03-08,266.5,266.65,264.0,266.04,24570843300,True,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,,,,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-09,267.08,267.08,262.19,263.67,23320940300,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,,,,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-10,262.11,263.58,260.45,261.28,26203123940,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,1.0,266.04,2016-03-08,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-11,262.01,267.89,259.4,265.1,38968649220,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,-1.0,261.28,2016-03-10,False,False,True,False,True,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True
2016-03-14,264.7,265.3,261.68,262.06,19552835980,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,1.0,265.1,2016-03-11,False,False,False,True,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-15,262.05,263.09,256.6,257.3,26324189960,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,,,,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-16,258.12,259.2,257.06,258.93,17375419120,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,,,,False,False,False,False,False,False,True,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-17,258.5,263.88,257.4,263.55,28462247380,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,-1.0,257.3,2016-03-15,False,False,True,False,True,False,True,True,True,True,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True
2016-03-18,264.2,264.97,262.4,262.6,18619825680,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,,,,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-21,260.7,262.0,258.88,259.4,17666351940,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,1.0,263.55,2016-03-17,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-22,259.88,261.96,259.01,261.9,14554326000,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,,,,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-23,261.01,262.45,257.84,258.03,22237735100,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,,,,False,False,False,True,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-24,257.71,257.71,254.3,254.88,25685993140,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,,,,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-25,255.45,256.6,255.32,255.82,10105647300,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,,,,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-28,255.7,256.19,253.6,255.2,10324009760,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,,,,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-29,255.35,256.0,254.6,254.69,11948087600,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,,,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
